title,duration,mpaa_rating,genre,release_date,user_rating,rating_count,budget,gross
The Bourne Ultimatum,115.0,PG-13,Action,2007-08-03,8.0,584584.0,70000000.0,442824138.0
The Simpsons Movie,87.0,PG-13,Comedy,2007-07-25,7.3,296295.0,75000000.0,527068851.0
Enchanted,107.0,PG,Family,2007-11-20,7.0,167752.0,85000000.0,340487652.0
American Gangster,157.0,R,Crime,2007-11-02,7.8,372553.0,100000000.0,266465037.0
Live Free or Die Hard,128.0,PG-13,Thriller,2007-06-20,7.1,375083.0,110000000.0,383531464.0
Fantastic 4: Rise of the Silver Surfer,92.0,PG,Action,2007-06-13,5.6,241962.0,130000000.0,289047763.0
National Treasure: Book of Secrets,124.0,PG,Mystery,2007-12-13,6.5,208233.0,130000000.0,457363168.0
Rush Hour 3,91.0,PG-13,Comedy,2007-08-08,6.2,144312.0,140000000.0,258022233.0
Ratatouille,111.0,G,Animation,2007-06-22,8.0,594171.0,150000000.0,623722818.0
Transformers,144.0,PG-13,Action,2007-06-27,7.0,575579.0,150000000.0,709709780.0
Harry Potter and the Order of the Phoenix,138.0,PG-13,Fantasy,2007-06-28,7.5,465046.0,150000000.0,938212738.0
I Am Legend,101.0,PG-13,Drama,2007-12-14,7.2,645359.0,150000000.0,585349010.0
Shrek the Third,93.0,PG,Animation,2007-05-17,6.0,261818.0,160000000.0,798958165.0
Spider-Man 3,139.0,PG-13,Action,2007-05-01,6.2,470900.0,258000000.0,890871626.0
Pirates of the Caribbean: At World's End,169.0,PG-13,Adventure,2007-05-19,7.1,565402.0,300000000.0,961000000.0
Slumdog Millionaire,120.0,R,Drama,2008-05-12,8.0,758215.0,15000000.0,377910544.0
Gran Torino,116.0,R,Drama,2008-12-09,8.1,681249.0,33000000.0,269958228.0
Twilight,122.0,PG-13,Romance,2008-11-20,5.2,400765.0,37000000.0,392616625.0
Mamma Mia!,108.0,PG-13,Romance,2008-07-03,6.4,198801.0,52000000.0,609841637.0
Marley and Me,115.0,PG,Drama,2008-12-25,4.7,252223.0,60000000.0,247800000.0
Sex and the City,145.0,R,Drama,2008-05-12,5.6,111683.0,65000000.0,415252786.0
Wanted,110.0,R,Crime,2008-06-19,6.7,345360.0,75000000.0,258270008.0
Get Smart,110.0,PG-13,Comedy,2008-06-19,6.5,192963.0,80000000.0,230685453.0
Horton Hears a Who!,88.0,G,Animation,2008-03-03,6.8,123219.0,85000000.0,297138014.0
Kung Fu Panda,90.0,PG,Animation,2008-06-04,7.5,390478.0,130000000.0,631744560.0
Iron Man,126.0,PG-13,Action,2008-04-30,7.9,885440.0,140000000.0,585174222.0
The Incredible Hulk,114.0,PG-13,Action,2008-06-12,6.7,410953.0,150000000.0,163712074.0
Hancock,92.0,PG-13,Fantasy,2008-07-01,6.4,420160.0,150000000.0,624029371.0
Madagascar: Escape 2 Africa,89.0,PG,Animation,2008-10-30,6.6,189290.0,150000000.0,603900354.0
The Curious Case of Benjamin Button,166.0,PG-13,Mystery,2008-11-24,7.8,549809.0,150000000.0,333932083.0
WALL-E,97.0,G,Animation,2008-06-23,7.6,429384.0,180000000.0,533300000.0
Indiana Jones and the Kingdom of the Crystal Skull,122.0,PG-13,Adventure,2008-05-21,6.1,400210.0,185000000.0,786636033.0
The Dark Knight,152.0,PG-13,Action,2008-07-16,9.0,2127228.0,185000000.0,1004558444.0
Quantum of Solace,106.0,PG-13,Action,2008-10-30,6.6,382597.0,200000000.0,586090727.0
The Chronicles of Narnia: Prince Caspian,150.0,PG,Fantasy,2008-05-15,6.5,182624.0,225000000.0,419651413.0
Taken,90.0,PG-13,Thriller,2009-01-30,7.6,473121.0,25000000.0,226800000.0
Paul Blart: Mall Cop,91.0,PG,Comedy,2009-01-15,5.2,97379.0,26000000.0,183293131.0
The Blind Side,129.0,R,Drama,2009-11-20,7.6,272556.0,29000000.0,309208309.0
The Hangover,100.0,R,Comedy,2009-06-05,7.7,681246.0,35000000.0,459270619.0
The Proposal,108.0,PG-13,Romance,2009-06-01,6.7,277605.0,40000000.0,317375031.0
The Twilight Saga: New Moon,130.0,PG-13,Romance,2009-03-15,4.7,252223.0,50000000.0,709827462.0
Alvin and the Chipmunks: The Squeakquel,88.0,PG,Family,2009-12-21,4.5,40285.0,75000000.0,443140005.0
Fast and Furious,107.0,PG-13,Thriller,2009-04-03,8.8,1888105.0,85000000.0,363200000.0
Ice Age: Dawn of the Dinosaurs,94.0,PG,Animation,2009-06-29,6.9,208859.0,90000000.0,886686817.0
Sherlock Holmes,128.0,PG-13,Mystery,2009-12-23,7.6,556227.0,90000000.0,524028679.0
X-Men Origins: Wolverine,107.0,PG-13,Action,2009-04-28,6.6,445334.0,150000000.0,373062864.0
Star Trek,127.0,PG-13,Science Fiction,2009-05-06,7.9,561041.0,150000000.0,385680446.0
Night at the Museum: Battle of the Smithsonian,105.0,PG,Family,2009-05-20,6.0,164438.0,150000000.0,413106170.0
Transformers: Revenge of the Fallen,150.0,PG-13,Action,2009-06-19,6.0,369460.0,150000000.0,836297228.0
Monsters vs Aliens,94.0,PG,Animation,2009-03-19,7.7,374981.0,175000000.0,381509870.0
Up,96.0,PG,Animation,2009-05-13,8.2,867393.0,175000000.0,735099082.0
G.I. Joe: The Rise of Cobra,118.0,PG-13,Action,2009-08-04,5.8,192848.0,175000000.0,302469017.0
2012,158.0,PG-13,Adventure,2009-10-10,4.3,28949.0,200000000.0,769653595.0
Avatar,162.0,PG-13,Adventure,2009-12-10,7.8,1064378.0,237000000.0,2787965087.0
Harry Potter and the Half-Blood Prince,153.0,PG,Fantasy,2009-07-07,7.6,429384.0,250000000.0,933959197.0
The King's Speech,118.0,R,Drama,2010-09-06,8.0,603556.0,15000000.0,414211549.0
True Grit,110.0,PG-13,Western,2010-12-22,7.6,289841.0,38000000.0,252276927.0
The Karate Kid,140.0,PG,Action,2010-06-10,6.2,149538.0,40000000.0,357852395.0
The Twilight Saga: Eclipse,124.0,PG-13,Romance,2010-06-23,5.0,215110.0,68000000.0,698491347.0
Despicable Me,95.0,PG,Animation,2010-07-08,7.6,473121.0,69000000.0,543513985.0
Shutter Island,138.0,R,Drama,2010-02-18,8.1,1033626.0,80000000.0,294804195.0
Grown Ups,102.0,PG-13,Comedy,2010-06-24,5.9,214850.0,80000000.0,271430189.0
Little Fockers,98.0,PG-13,Comedy,2010-12-21,5.5,100845.0,100000000.0,310650585.0
Clash of the Titans,108.0,PG-13,Thriller,2010-04-02,5.8,260054.0,125000000.0,493200000.0
Megamind,95.0,PG,Animation,2010-10-28,7.2,212563.0,130000000.0,321887208.0
The Last Airbender,103.0,PG,Adventure,2010-06-30,4.1,139750.0,150000000.0,318502923.0
Inception,148.0,PG-13,Action,2010-07-14,8.8,1888105.0,160000000.0,825532764.0
How to Train Your Dragon,98.0,PG,Animation,2010-03-05,8.1,624128.0,165000000.0,494878759.0
Shrek Forever After,93.0,PG,Animation,2010-05-16,6.3,171513.0,165000000.0,752600867.0
Tron Legacy,125.0,PG,Science Fiction,2010-12-17,6.9,545814.0,170000000.0,400000000.0
Alice in Wonderland,108.0,PG,Fantasy,2010-03-03,6.4,364339.0,200000000.0,1025491110.0
Iron Man 2,124.0,PG-13,Action,2010-04-28,7.0,675501.0,200000000.0,623933331.0
Toy Story 3,103.0,G,Animation,2010-06-16,8.3,705408.0,200000000.0,1066969703.0
Harry Potter and the Deathly Hallows: Part 1,146.0,PG-13,Fantasy,2010-10-17,7.7,436403.0,250000000.0,954305868.0
Tangled,100.0,PG,Animation,2010-11-24,7.7,374981.0,260000000.0,591794936.0
The Help,146.0,PG-13,Drama,2011-08-09,8.1,399843.0,25000000.0,124272124.0
Bridesmaids,125.0,R,Comedy,2011-04-28,6.8,253501.0,32500000.0,288383523.0
Alvin and the Chipmunks: Chipwrecked,87.0,G,Family,2011-12-14,4.3,28949.0,75000000.0,342695435.0
The Hangover Part II,102.0,R,Comedy,2011-05-25,6.4,440120.0,80000000.0,254455986.0
Rio,96.0,G,Animation,2011-04-03,6.9,194794.0,90000000.0,484635760.0
Rise of the Planet of the Apes,105.0,PG-13,Science Fiction,2011-08-03,7.6,478465.0,93000000.0,482860185.0
The Twilight Saga: Breaking Dawn - Part 1,117.0,PG-13,Romance,2011-03-15,4.9,211592.0,110000000.0,712171856.0
The Smurfs,103.0,PG,Animation,2011-07-29,5.4,78902.0,110000000.0,563749323.0
Fast Five,130.0,PG-13,Action,2011-04-20,7.3,335531.0,125000000.0,626137675.0
Harry Potter and the Deathly Hallows: Part 2,130.0,PG-13,Fantasy,2011-07-07,8.1,706836.0,125000000.0,1342000000.0
Sherlock Holmes: A Game of Shadows,129.0,PG-13,Mystery,2011-11-22,7.5,399957.0,125000000.0,334615000.0
Puss in Boots: The Three Diablos,130.0,PG,Animation,2011-12-08,7.8,727724.0,130000000.0,555000000.0
Captain America: The First Avenger,124.0,PG-13,Action,2011-07-22,6.9,687208.0,140000000.0,370569774.0
Mission: Impossible - Ghost Protocol,133.0,PG-13,Thriller,2011-12-07,7.4,434810.0,145000000.0,694713380.0
Thor,115.0,PG-13,Action,2011-04-21,7.0,700777.0,150000000.0,449326618.0
Kung Fu Panda 2,91.0,PG,Animation,2011-05-25,7.2,234612.0,150000000.0,665692281.0
Transformers: Dark of the Moon,154.0,PG-13,Action,2011-06-28,6.2,370672.0,195000000.0,1123746996.0
Cars 2,106.0,G,Animation,2011-06-11,6.1,144174.0,200000000.0,559852396.0
Pirates of the Caribbean: On Stranger Tides,136.0,PG-13,Action,2011-05-14,6.6,455211.0,380000000.0,1045713802.0
