title,duration,mpaa_rating,listed_in,release_year,media_type
Charmed,8 Seasons,TV-PG,"Romantic TV Shows, TV Comedies, TV Dramas",2005,TV Show
Cleverman,2 Seasons,TV-MA,"TV Dramas, TV Sci-Fi & Fantasy, TV Thrillers",2017,TV Show
Gilmore Girls,7 Seasons,TV-14,"Romantic TV Shows, TV Comedies, TV Dramas",2006,TV Show
Star Trek,3 Seasons,TV-PG,"Classic & Cult TV, TV Action & Adventure, TV Sci-Fi & Fantasy",1968,TV Show
Star Trek: Enterprise,4 Seasons,TV-PG,"Classic & Cult TV, TV Action & Adventure, TV Sci-Fi & Fantasy",2004,TV Show
Star Trek: Voyager,7 Seasons,TV-PG,"TV Action & Adventure, TV Sci-Fi & Fantasy",2000,TV Show
Skin Wars,3 Seasons,TV-14,Reality TV,2016,TV Show
Little Things,3 Seasons,TV-MA,"International TV Shows, Romantic TV Shows, TV Comedies",2019,TV Show
Treehouse Detectives,2 Seasons,TV-Y,"Kids' TV, TV Thrillers",2018,TV Show
Danger Mouse,2 Seasons,TV-Y7,"British TV Shows, Kids' TV",2016,TV Show
Busted!,2 Seasons,TV-14,"International TV Shows, Korean TV Shows, Stand-Up Comedy & Talk Shows",2019,TV Show
The Great British Baking Show: Holidays,2 Seasons,TV-PG,"British TV Shows, Reality TV",2019,TV Show
Wild District,2 Seasons,TV-MA,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",2019,TV Show
Fate/Apocrypha,2 Seasons,TV-MA,"Anime Series, International TV Shows",2017,TV Show
Project Mc²,6 Seasons,TV-Y7,Kids' TV,2017,TV Show
Millennials,2 Seasons,TV-MA,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows",2019,TV Show
Sam & Cat,2 Seasons,TV-PG,"Kids' TV, TV Comedies",2014,TV Show
She-Ra and the Princesses of Power,4 Seasons,TV-Y7-FV,"Kids' TV, TV Action & Adventure, TV Sci-Fi & Fantasy",2019,TV Show
The End of the F***ing World,2 Seasons,TV-MA,"British TV Shows, International TV Shows, TV Comedies",2019,TV Show
Meet the Adebanjos,3 Seasons,TV-PG,"British TV Shows, TV Comedies",2016,TV Show
F is for Family,3 Seasons,TV-MA,TV Comedies,2018,TV Show
Spy Kids: Mission Critical,2 Seasons,TV-Y7-FV,Kids' TV,2018,TV Show
Man Down,4 Seasons,TV-MA,"British TV Shows, TV Comedies",2017,TV Show
Bleach,3 Seasons,TV-14,"Anime Series, International TV Shows",2006,TV Show
Kopitiam,7 Seasons,TV-14,"International TV Shows, TV Comedies",2003,TV Show
Julius Jr.,2 Seasons,TV-Y,Kids' TV,2014,TV Show
Chip and Potato,2 Seasons,TV-Y,Kids' TV,2019,TV Show
La Reina del Sur,2 Seasons,TV-14,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",2019,TV Show
Good Morning Call,2 Seasons,TV-14,"International TV Shows, Romantic TV Shows, TV Comedies",2017,TV Show
Broadchurch,3 Seasons,TV-14,"British TV Shows, Crime TV Shows, International TV Shows",2017,TV Show
The Crime,2 Seasons,TV-14,"Crime TV Shows, International TV Shows, TV Dramas",2015,TV Show
Frontier,3 Seasons,TV-MA,"International TV Shows, TV Action & Adventure, TV Dramas",2018,TV Show
Sick Note,2 Seasons,TV-MA,"British TV Shows, International TV Shows, TV Comedies",2018,TV Show
High Seas,2 Seasons,TV-MA,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",2019,TV Show
Nailed It! Holiday!,2 Seasons,TV-PG,Reality TV,2019,TV Show
The Dragon Prince,3 Seasons,TV-Y7-FV,"Kids' TV, TV Action & Adventure, TV Sci-Fi & Fantasy",2019,TV Show
Trolls: The Beat Goes On!,8 Seasons,TV-G,"Kids' TV, TV Comedies",2019,TV Show
Mystery Science Theater 3000: The Return,2 Seasons,TV-14,"TV Comedies, TV Sci-Fi & Fantasy",2018,TV Show
Lilyhammer,3 Seasons,TV-MA,"Crime TV Shows, TV Comedies, TV Dramas",2014,TV Show
Victorious,3 Seasons,TV-G,"Kids' TV, TV Comedies",2013,TV Show
House of Cards,6 Seasons,TV-MA,"TV Dramas, TV Thrillers",2018,TV Show
The Last Kingdom,3 Seasons,TV-MA,"British TV Shows, International TV Shows, TV Action & Adventure",2018,TV Show
Goosebumps,5 Seasons,TV-Y7,"Kids' TV, TV Thrillers",1998,TV Show
The Magic School Bus,4 Seasons,TV-Y,Kids' TV,1997,TV Show
The Crown,3 Seasons,TV-MA,"British TV Shows, International TV Shows, TV Dramas",2019,TV Show
Longmire,6 Seasons,TV-14,"Crime TV Shows, TV Dramas",2017,TV Show
Luna Petunia,3 Seasons,TV-Y,Kids' TV,2017,TV Show
Ponysitters Club,2 Seasons,TV-Y7,"Kids' TV, TV Dramas",2018,TV Show
K-On!,2 Seasons,TV-PG,"Anime Series, Teen TV Shows",2010,TV Show
Llama Llama,2 Seasons,TV-Y,Kids' TV,2019,TV Show
