,id,spoken_languages
452,10204,tr
453,10204,cn
454,8489,en
455,10588,en
456,2048,en
457,1495,ar
458,1495,en
459,1495,it
460,1495,la
461,10137,en
462,10198,fr
463,10198,en
464,286217,en
465,286217,zh
466,1635,en
467,24113,en
468,9679,en
469,98,en
470,180,en
471,180,sv
472,672,en
473,36557,en
474,36557,fr
475,869,en
476,280,en
477,280,es
478,11322,en
479,4982,en
480,36955,en
481,36955,fr
482,36955,ar
483,36955,de
484,18487,en
485,39451,en
486,27581,en
487,9268,en
488,68718,en
489,68718,fr
490,68718,de
491,10545,la
492,10545,en
493,11688,en
494,76163,en
495,2059,la
496,2059,en
497,2059,es
498,2486,en
499,16523,en
500,116711,en
501,37710,en
502,37710,fr
503,37710,it
504,37710,ru
505,37710,es
506,9946,en
507,9946,it
508,9946,la
509,1372,af
510,1372,en
511,106646,fr
512,106646,en
513,414,en
514,563,en
515,83542,en
516,41216,en
517,314,es
518,314,en
519,184315,en
520,9016,en
521,18162,en
522,138103,en
523,257088,en
524,10214,en
525,205775,en
526,11692,en
527,22972,en
528,22972,ar
529,227973,en
530,29193,en
531,1734,en
532,1734,ar
533,3131,en
534,3131,ga
535,3131,la
536,3131,zh
537,76758,zh
538,76758,ja
539,76758,en
540,9408,en
541,9890,en
542,855,en
543,855,so
544,77953,en
545,18,en
546,18,sv
547,18,de
548,37786,en
549,37786,ar
550,10501,en
551,57800,en
552,150689,en
553,7980,en
554,12,en
555,122,en
556,121,en
557,68737,en
558,1995,en
559,157353,en
560,331,en
561,331,es
562,61791,en
563,8204,en
564,47964,en
565,47964,ru
566,10733,en
567,10733,es
568,9806,fr
569,9806,en
570,1408,en
571,1408,la
572,32657,en
573,607,en
574,607,es
575,863,en
576,44048,en
577,5175,cn
578,5175,en
579,5175,zh
580,2655,en
581,22794,en
582,8355,en
583,116745,en
584,4327,en
585,4327,de
586,4327,fi
587,4327,ja
588,4327,cn
589,1422,en
590,1422,cn
591,10674,en
592,10674,zh
593,7446,en
594,7446,zh
595,65754,en
596,1572,en
597,1572,de
598,1572,ro
599,10528,en
600,10528,fr
601,271969,en
602,10865,en
603,10865,fr
604,10865,es
605,258509,en
606,2253,en
607,2253,de
608,10661,en
